// Boss SR
//===========================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Boss SR"		        1000	     	100			     20				0					0				0
end

1
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent	ItemTime	Rate	NameItem
14			96		 0			0			0		0		0		0		     0          50        // Bùa Kết Hợp Chaos
14			169		 0			0			0		0		0		0		     0          50        // Lệnh Bài Quân Hàm
14			244		 0			0			0		0		0		0		     0          20        // Ngọc Cường Hoá
14			252		 0			0			0		0		0		0		     0          10        // Ngọc Full
12			30		 2			0			0		0		0		0		     0          30        // Cụm Ngọc Ước Nguyện
12			31		 2			0			0		0		0		0		     0          40        // Cụm Ngọc Tâm Linh
12			136		 2			0			0		0		0		0		     0          80        // Cụm Ngọc Sinh Mệnh
12			137		 2			0			0		0		0		0		     0          80        // Cụm Ngọc Sáng Tạo
12			140		 2			0			0		0		0		0		     0          60        // Cụm Đá Tạo Hóa
12			141		 2			0			0		0		0		0		     0          30        // Cụm Ngọc Hỗn Nguyên
13			159		 0			0			0		0		0		0		     0          25        // Nguyên Liệu Tăng Cấp Hồn Hoàn
14			141		 0			0			0		0		0		0		     0          60        //Hoàn Trả A+	
14			142		 0			0			0		0		0		0		     0          60        //Hoàn Trả B+	
14			143		 0			0			0		0		0		0		     0          60        //Hoàn Trả C+	
14			263		 1			2			0		0		0		0		     0          60        //Cron 
end
