// Boss Cannibals
//===========================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Boss Cannibals"		1000	     	100			     5				0					0				0
end

1
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent	ItemTime	Rate	NameItem
14			169		 0			0			0		0		0		0		      0          15      // Lệnh Bài Quân Hàm
14			263		 0			0			0		0		0		0		      0          15      // Cron Stone
13			155		 0			0			0		0		0		0		      0          15      // Đá Bang Hội Cấp 1
13			156		 0			0			0		0		0		0		      0          15      // Đá Bang Hội Cấp 2
13			157		 0			0			0		0		0		0		      0          15      // Đá Bang Hội Cấp 3
12			141		 0			0			0		0		0		0			  0			 20		 //Cụm Ngọc Hỗn Nguyên
12			30		 0			0			0		0		0		0			  0			 30		 //Cụm Ngọc Ước Nguyện
12			31		 0			0			0		0		0		0			  0			 40		 //Cụm Ngọc Tâm Linh
12			137  	 0			0			0		0		0		0			  0			 70		 //Cụm Ngọc Sáng Tạo
12			136		 0			0			0		0		0		0			  0			 80		 //Cụm Ngọc Sinh Mệnh

end
