//===========================================================================
0
//EventName				DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Hoan Tra B+"		     0		      80				5				0					0				0
end

1
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent   Time       Rate   NameItem
//=============================================================================================
14			193		0			0			0		0		0		0		    0           10      //Woinc 500K
13			156		0			0			0		0		0		0		    0           15      //Đá Nâng Cấp Bang Hội Lv 2
14			96		0			0			0		0		0		0		    0           15      //Bùa Kết Hợp Chaos
14			263		0			0			0		0		0		0		    0           15      //Cron Stone
12			141		0			0			0		0		0		0			0			20		//Cụm Ngọc Hỗn Nguyên
12			30		0			0			0		0		0		0			0			30		//Cụm Ngọc Ước Nguyện
14			169		0			0			0		0		0		0		    0           30      //Lệnh Bài Quân Hàm
12			31		0			0			0		0		0		0			0			40		//Cụm Ngọc Tâm Linh
12			137  	0			0			0		0		0		0			0			50		//Cụm Ngọc Sáng Tạo
12			136		0			0			0		0		0		0			0			60		//Cụm Ngọc Sinh Mệnh
14			32		0			0			0		0		0		0			0			60		//Hộp Crystal Weapon
14			33		0			0			0		0		0		0			0			70		//Hộp Crystal Armor
end
