//===========================================================================
0
//EventName				 DropZen		ItemDropRate	ItemDropCount	SetItemDropRate		ItemDropType	Fireworks
"Hoan Tra C+"		      10000		      80				5				0					0				0
end

1
//Section	Type	MinLevel	MaxLevel	Skill	Luck	Option	Excellent     Time     Rate    NameItem
//=============================================================================================
14			192		0			0			0		0		0		0		    0           10      //Woinc 100K
13			155		0			0			0		0		0		0		    0           15      //Đá Nâng Cấp Bang Hội Lv 1
12			15		0			0			0		0		0		0			0			20		//Ngọc Hỗn Nguyên
14			13		0			0			0		0		0		0			0			25		//Ngọc Ước Nguyện
14			14		0			0			0		0		0		0			0			30		//Ngọc Tâm Linh
14			169		0			0			0		0		0		0		    0           30      //Lệnh Bài Quân Hàm
14			16		0			0			0		0		0		0			0			35		//Ngọc Sinh Mệnh
14			22		0			0			0		0		0		0			0			40		//Ngọc Sáng Tạo
14			32		0			0			0		0		0		0			0			60		//Hộp Crystal Weapon
14			33		0			0			0		0		0		0			0			70		//Hộp Crystal Armor


end
