//Index   Message
0         "Blood Castle event will close in %d minute(s)"
1         "Blood Castle event has closed"
2         "Blood Castle event %d starts in %d minute(s)"
3         "Blood Castle event has started"
4         "Kill enough monsters, then quickly destroy the gate"
5         "Hurry up and grab the Angel weapon"
6         "Blood Castle has ended"
7         "You are not strong enough to join Blood Castle"
8         "%s dropped the Angel weapon"
9         "%s picked up the Angel weapon"
10        "%s destroyed the Blood Castle gate"
11        "%s destroyed the statue"
16        "Chaos Castle event will close in %d minute(s)"
17        "Chaos Castle event has closed"
18        "Chaos Castle event %d starts in %d minute(s)"
19        "Chaos Castle event has started"
20        "Chaos Castle event has ended"
32        "Free Account"
33        "Bronze Account"
34        "Silver Account"
35        "Gold Account"
36        "Obtained %d %s"
37        "You killed a hunting dog"
38        "You received %d Wcoin(C)"
39        "You received %d Honor Points"
40        "You received %d Wcoin(G)"
41        "You received %d Ruud"
42        "Kundun Lorencia event (141,127) has started!"
43        "Boss Nangari has been defeated"
44        "Boss Brilliant Lugh has respawned"
45        "Boss Brilliant Lugh has been defeated by %s"
46        "The great demon has attacked Debenter"
47        ""
48        ""
49        ""
50        "%s destroyed the Spider Egg"
51		  "%s destroyed the Jade Rabbit"
52		  "%s destroyed the Flame Devil"
53        "World Boss has respawned at Aida"
54        "World Boss event has ended"
55        "%s defeated the Demon King of Tower Floor 60"
56        ""
57        ""
58        ""
60        "Akadus event has ended"
64        "You do not have permission to use this command"
65        "You need level %d to use /post"
66        "You need %d resets to use /post"
67        "You need %d zen to use /post"
68        "You need to wait %d second(s) to use /post"
69        "[ALL] %s"
70        "You do not have permission to use /add"
71        "This command is only for the Lord"
72        "You do not have enough points to add"
73        "You need %d zen to use /add"
74        "You have used %d points, %d remaining"
75        "You do not have permission to use /pkclear"
76        "You are not a killer"
77        "You need %d zen to use /pkclear"
78        "Absolution successful"
79        "You do not have permission to use /money"
80        "You entered an invalid value"
81        "You do not have permission to use /change"
82        "You need %d zen to use /change"
83        "You have already completed the final quest"
84        "Congratulations, you have completed the quest"
85        "You do not have permission to use /ware"
86        "You cannot use /ware at this time"
87        "You entered an invalid value (max 10)"
88        "Switched to warehouse %d"
89        "You do not have permission to use Reset"
90        "You cannot Reset at this time"
91        "You need level %d to Reset"
92        "You need %d zen to Reset"
93        "You cannot reset more than %d"
94        "You can not reset with items equipped"
95        "Reset successful, you now have %d reset(s)"
96        "You do not have permission to use /gmmove"
97        "Invalid target for /gmmove"
98        "You do not have permission to use /gmpost"
