//Index   Message
0         "El evento Castillo de Sangre cerrará en %d minuto(s)"
1         "El evento Castillo de Sangre ha cerrado"
2         "El evento Castillo de Sangre %d comienza en %d minuto(s)"
3         "El evento Castillo de Sangre ha comenzado"
4         "Elimina suficientes monstruos y luego destruye la puerta"
5         "Apúrate y toma el arma del Ángel"
6         "Castillo de Sangre ha terminado"
7         "No eres lo suficientemente fuerte para unirte a Castillo de Sangre"
8         "%s dejó caer el arma del Ángel"
9         "%s recogió el arma del Ángel"
10        "%s destruyó la puerta de Castillo de Sangre"
11        "%s destruyó la estatua"
16        "El evento Castillo del Caos cerrará en %d minuto(s)"
17        "El evento Castillo del Caos ha cerrado"
18        "El evento Castillo del Caos %d comienza en %d minuto(s)"
19        "El evento Castillo del Caos ha comenzado"
20        "El evento Castillo del Caos ha terminado"
32        "Cuenta Gratuita"
33        "Cuenta Bronce"
34        "Cuenta Plata"
35        "Cuenta Oro"
36        "Obtuviste %d %s"
37        "Mataste a un perro de caza"
38        "Recibiste %d Wcoin(C)"
39        "Recibiste %d Puntos de Honor"
40        "Recibiste %d Wcoin(G)"
41        "Recibiste %d Ruud"
42        "¡El evento Kundun Lorencia (141,127) ha comenzado!"
43        "El Boss Nangari ha sido derrotado"
44        "El Boss Brilliant Lugh ha resucitado"
45        "El Boss Brilliant Lugh fue derrotado por %s"
46        "El gran demonio ha atacado Debenter"
47        ""
48        ""
49        ""
50        "%s destruyó el Huevo de Araña"
51		  "%s destruyó al Conejo de Jade"
52		  "%s destruyó al Diablo de Fuego"
53        "El Jefe del Mundo ha resucitado en Aida"
54        "El evento del Jefe del Mundo ha terminado"
55        "%s derrotó al Rey Demonio del Piso 60 de la Torre"
56        ""
57        ""
58        ""
60        "El evento Akadus ha terminado"
64        "No tienes permiso para usar este comando"
65        "Necesitas nivel %d para usar /post"
66        "Necesitas %d reset(s) para usar /post"
67        "Necesitas %d zen para usar /post"
68        "Necesitas esperar %d segundo(s) para usar /post"
69        "[TODOS] %s"
70        "No tienes permiso para usar /add"
71        "Este comando es solo para el Lord"
72        "No tienes suficientes puntos para agregar"
73        "Necesitas %d zen para usar /add"
74        "Has usado %d puntos, te quedan %d"
75        "No tienes permiso para usar /pkclear"
76        "No eres un asesino"
77        "Necesitas %d zen para usar /pkclear"
78        "Absolución exitosa"
79        "No tienes permiso para usar /money"
80        "Ingresaste un valor inválido"
81        "No tienes permiso para usar /change"
82        "Necesitas %d zen para usar /change"
83        "Ya completaste la misión final"
84        "Felicidades, has completado la misión"
85        "No tienes permiso para usar /ware"
86        "No puedes usar /ware en este momento"
87        "Ingresaste un valor inválido (máx 10)"
88        "Cambiaste al almacén %d"
89        "No tienes permiso para usar Reset"
90        "No puedes hacer Reset en este momento"
91        "Necesitas nivel %d para hacer Reset"
92        "Necesitas %d zen para hacer Reset"
93        "No puedes resetear más de %d"
94        "No puedes resetear con objetos equipados"
95        "Reset exitoso, ahora tienes %d reset(s)"
