//Index   Message
0         "O evento Castelo de Sangue fechará em %d minuto(s)"
1         "O evento Castelo de Sangue foi encerrado"
2         "O evento Castelo de Sangue %d começa em %d minuto(s)"
3         "O evento Castelo de Sangue começou"
4         "Elimine monstros suficientes e destrua rapidamente o portão"
5         "Corra e pegue a arma do Anjo"
6         "Castelo de Sangue terminou"
7         "Você não é forte o suficiente para participar do Castelo de Sangue"
8         "%s deixou cair a arma do Anjo"
9         "%s pegou a arma do Anjo"
10        "%s destruiu o portão do Castelo de Sangue"
11        "%s destruiu a estátua"
16        "O evento Castelo do Caos fechará em %d minuto(s)"
17        "O evento Castelo do Caos foi encerrado"
18        "O evento Castelo do Caos %d começa em %d minuto(s)"
19        "O evento Castelo do Caos começou"
20        "O evento Castelo do Caos terminou"
32        "Conta Gratuita"
33        "Conta Bronze"
34        "Conta Prata"
35        "Conta Ouro"
36        "Você obteve %d %s"
37        "Você matou um cão de caça"
38        "Você recebeu %d Wcoin(C)"
39        "Você recebeu %d Pontos de Honra"
40        "Você recebeu %d Wcoin(G)"
41        "Você recebeu %d Ruud"
42        "O evento Kundun Lorencia (141,127) começou!"
43        "O Boss Nangari foi derrotado"
44        "O Boss Brilliant Lugh ressuscitou"
45        "O Boss Brilliant Lugh foi derrotado por %s"
46        "O grande demônio atacou Debenter"
47        ""
48        ""
49        ""
50        "%s destruiu o Ovo de Aranha"
51		  "%s destruiu o Coelho de Jade"
52		  "%s destruiu o Demônio de Fogo"
53        "O Chefe do Mundo ressuscitou em Aida"
54        "O evento do Chefe do Mundo terminou"
55        "%s derrotou o Rei Demônio do Andar 60 da Torre"
56        ""
57        ""
58        ""
60        "O evento Akadus terminou"
64        "Você não tem permissão para usar este comando"
65        "Você precisa do nível %d para usar /post"
66        "Você precisa de %d reset(s) para usar /post"
67        "Você precisa de %d zen para usar /post"
68        "Você precisa esperar %d segundo(s) para usar /post"
69        "[TODOS] %s"
70        "Você não tem permissão para usar /add"
71        "Este comando é somente para o Lord"
72        "Você não tem pontos suficientes para adicionar"
73        "Você precisa de %d zen para usar /add"
74        "Você usou %d pontos, restam %d"
75        "Você não tem permissão para usar /pkclear"
76        "Você não é um assassino"
