//Index   Message
0         "Sự kiện Huyết Lâu sẽ đóng cửa sau %d phút"
1         "Sự kiện Huyết Lâu Đóng cửa"
2         "Sự kiện Huyết Lâu %d bắt đầu sau %d phút"
3         "Sự kiện Huyết Lâu bắt đầu"
4         "Tiêu diệt quái đủ số lượng, nhanh chóng phá hủy cửa"
5         "Mau đoạt lấy vũ khí Thiên Sứ"
6         "Huyết Lâu Kết Thúc"
7         "Bạn Không Đủ Mạnh để Tham Gia Huyết Lâu"
8         "%s đã rớt vũ khí Angel"
9         "%s đã nhặt vũ khí Angel"
10        "%s phá hủy cánh cổng Huyết Lâu"
11        "%s phá hủy bức tượng"
16        "Sự kiện Hỗn Nguyên Lâu sẽ đóng cửa sau %d phút"
17        "Sự kiện Hỗn Nguyên Lâu đóng cửa"
18        "Sự kiện Hỗn Nguyên Lâu %d bắt đầu sau %d phút"
19        "Sự kiện Hỗn Nguyên Lâu bắt đầu"
20        "Sự kiện Hỗn Nguyên Lâu kết thúc"
32        "TK Miễn phí"
33        "TK ĐỒNG"
34        "TK BẠC"
35        "TK VÀNG"
36        "Thu được %d %s"
37        "Bạn đã giết một con chó săn"
38        "Bạn Nhận Được %d Wcoin(C)"
39        "Bạn Nhận Được %d Điểm Vinh Dự"
40        "Bạn Nhận Được %d Wcoin(G)"
41        "Bạn Nhận Được %d Ruud"
42        "Sự kiện Kundun Lorencia (141,127) Bắt Đầu!"
43        "Boss Nangari Đã Kết Thúc"
44        "Boss Brilliant Lugh Đã Hồi Sinh"
45        "Boss Brilliant Lugh Đã Bị %s"
46        "Đại quỷ đã tấn công Debender"
47        ""
48        ""
49        ""
50        "%s đã phá hủy Trứng nhện"
51		  "%s đã tiêu diệt Thỏ Ngọc"
52		  "%s đã tiêu diệt Hỏa Diệm Quỷ"
53        "Boss Thế Giới đã hồi sinh ở Aida"
54        "Sự kiện Boss Thế Giới kết thúc"
55        "%s Đã Tiêu Diệt Quỷ Vương Tháp Tầng 60"
56        ""
57        ""
58        ""
60        "Sự kiện Akadus kết thúc"
64        "Bạn không có quyền sử dụng lệnh này"
65        "Bạn cần %d level để sử dụng /post"
66        "Bạn cần %d reset để sử dụng /post"
67        "Bạn cần %d zen để sử dụng /post"
68        "Bạn cần chờ %d giây để sử dụng /post"
69        "[ALL] %s"
70        "Bạn không có quyền sử dụng /add"
71        "Lệnh này chỉ dùng cho Chúa Tể"
72        "Bạn không đủ điểm để cộng"
73        "Bạn cần %d zen để sử dụng /add"
74        "Bạn đã dùng %d points, còn dư %d"
75        "Bạn không có quyền sử dụng /pkclear"
76        "Bạn không phải sát thủ"
77        "Bạn cần %d zen để sử dụng /pkclear"
78        "Rửa tội thành công"
